Noise,N,0,1,2,3,4
0.027573967160944953,100,1.0,0.0,0.0,0.0,0.0
0.027573967160944953,100,0.0,1.0,0.0,0.0,0.0
0.027573967160944953,100,0.0,0.0,1.0,0.0,0.0
0.027573967160944953,100,0.0,0.0,0.0,1.0,0.0
0.027573967160944953,100,0.0,0.0,0.0,0.0,1.0
0.01375830884346064,100,1.0,0.0,0.0,0.0,0.0
0.01375830884346064,100,0.0,1.0,0.0,0.0,0.0
0.01375830884346064,100,0.0,0.0,1.0,0.0,0.0
0.01375830884346064,100,0.0,0.0,0.0,1.0,0.0
0.01375830884346064,100,0.0,0.0,0.0,0.0,1.0
0.002848441995512598,100,1.0,0.0,0.0,0.0,0.0
0.002848441995512598,100,0.0,1.0,0.0,0.0,0.0
0.002848441995512598,100,0.0,0.0,1.0,0.0,0.0
0.002848441995512598,100,0.0,0.0,0.0,1.0,0.0
0.002848441995512598,100,0.0,0.0,0.0,0.0,1.0
0.027107406259210286,200,1.0,0.0,0.0,0.0,0.0
0.027107406259210286,200,0.0,1.0,0.0,0.0,0.0
0.027107406259210286,200,0.0,0.0,1.0,0.0,0.0
0.027107406259210286,200,0.0,0.0,0.0,1.0,0.0
0.027107406259210286,200,0.0,0.0,0.0,0.0,1.0
0.012842738006133295,200,1.0,0.0,0.0,0.0,0.0
0.012842738006133295,200,0.0,1.0,0.0,0.0,0.0
0.012842738006133295,200,0.0,0.0,1.0,0.0,0.0
0.012842738006133295,200,0.0,0.0,0.0,1.0,0.0
0.012842738006133295,200,0.0,0.0,0.0,0.0,1.0
0.002662755587236647,200,1.0,0.0,0.0,0.0,0.0
0.002662755587236647,200,0.0,1.0,0.0,0.0,0.0
0.002662755587236647,200,0.0,0.0,1.0,0.0,0.0
0.002662755587236647,200,0.0,0.0,0.0,1.0,0.0
0.002662755587236647,200,0.0,0.0,0.0,0.0,1.0
0.026307640808096576,400,1.0,0.0,0.0,0.0,0.0
0.026307640808096576,400,0.0,1.0,0.0,0.0,0.0
0.026307640808096576,400,0.0,0.0,1.0,0.0,0.0
0.026307640808096576,400,0.0,0.0,0.0,1.0,0.0
0.026307640808096576,400,0.0,0.0,0.0,0.0,1.0
0.013180998202943571,400,1.0,0.0,0.0,0.0,0.0
0.013180998202943571,400,0.0,1.0,0.0,0.0,0.0
0.013180998202943571,400,0.0,0.0,1.0,0.0,0.0
0.013180998202943571,400,0.0,0.0,0.0,1.0,0.0
0.013180998202943571,400,0.0,0.0,0.0,0.0,1.0
0.0026994857509106272,400,1.0,0.0,0.0,0.0,0.0
0.0026994857509106272,400,0.0,1.0,0.0,0.0,0.0
0.0026994857509106272,400,0.0,0.0,1.0,0.0,0.0
0.0026994857509106272,400,0.0,0.0,0.0,1.0,0.0
0.0026994857509106272,400,0.0,0.0,0.0,0.0,1.0
0.02644737088692275,800,1.0,0.0,0.0,0.0,0.0
0.02644737088692275,800,0.0,1.0,0.0,0.0,0.0
0.02644737088692275,800,0.0,0.0,1.0,0.0,0.0
0.02644737088692275,800,0.0,0.0,0.0,1.0,0.0
0.02644737088692275,800,0.0,0.0,0.0,0.0,1.0
0.013688385463636954,800,1.0,0.0,0.0,0.0,0.0
0.013688385463636954,800,0.0,1.0,0.0,0.0,0.0
0.013688385463636954,800,0.0,0.0,1.0,0.0,0.0
0.013688385463636954,800,0.0,0.0,0.0,1.0,0.0
0.013688385463636954,800,0.0,0.0,0.0,0.0,1.0
0.0026960730522389374,800,1.0,0.0,0.0,0.0,0.0
0.0026960730522389374,800,0.0,1.0,0.0,0.0,0.0
0.0026960730522389374,800,0.0,0.0,1.0,0.0,0.0
0.0026960730522389374,800,0.0,0.0,0.0,1.0,0.0
0.0026960730522389374,800,0.0,0.0,0.0,0.0,1.0
0.026509942990730787,1600,1.0,0.0,0.0,0.0,0.0
0.026509942990730787,1600,0.0,1.0,0.0,0.0,0.0
0.026509942990730787,1600,0.0,0.0,1.0,0.0,0.0
0.026509942990730787,1600,0.0,0.0,0.0,1.0,0.0
0.026509942990730787,1600,0.0,0.0,0.0,0.0,1.0
0.01365928605022237,1600,1.0,0.0,0.0,0.0,0.0
0.01365928605022237,1600,0.0,1.0,0.0,0.0,0.0
0.01365928605022237,1600,0.0,0.0,1.0,0.0,0.0
0.01365928605022237,1600,0.0,0.0,0.0,1.0,0.0
0.01365928605022237,1600,0.0,0.0,0.0,0.0,1.0
0.0026975704381844616,1600,1.0,0.0,0.0,0.0,0.0
0.0026975704381844616,1600,0.0,1.0,0.0,0.0,0.0
0.0026975704381844616,1600,0.0,0.0,1.0,0.0,0.0
0.0026975704381844616,1600,0.0,0.0,0.0,1.0,0.0
0.0026975704381844616,1600,0.0,0.0,0.0,0.0,1.0
