Noise,N,0,1,2,3,4
0.0,100,0.4611626101172986,0.09202220925058616,0.055798131135974816,0.05194122173274752,0.018625999743138544
0.001,100,0.5027259753012981,0.061010475772851035,0.05072824208467981,0.005630213156375144,-8.588355619725943e-16
0.0,200,0.48627138495693295,0.09770354240289554,0.040693052608297794,0.03035165116049867,0.030337207206356225
0.001,200,0.4394145032986091,0.09048966586450946,0.04350025688450096,0.04096742095270197,0.018009990026027232
0.0,400,0.4635722952693757,0.061677120306933286,0.03989129936762137,0.04175853777836574,0.032466715121231365
0.001,400,0.4706197780963341,0.08093473631357419,0.058274862158689676,0.02320825430449046,0.03402965613429764
0.0,800,0.4690928075725376,0.08637061736373704,0.04869375785073416,0.033346358210349,0.02767181472399488
0.001,800,0.4451526078411505,0.09952156885119162,0.06276484847544098,0.033094312992181865,0.04378831186962888
0.0,1600,0.4439034303168207,0.0658130159690104,0.05652596588641974,0.05085103050470536,0.05161665223242305
0.001,1600,0.4428468911236528,0.1609864168019875,0.042229198053709616,0.03960306684608292,0.03215341182915575
